epoch,loss,val_loss
0,0.07709470391273499,0.06638026982545853
1,0.049998633563518524,0.07522344589233398
2,0.028044968843460083,0.045493755489587784
3,0.041501302272081375,0.04244116321206093
4,0.03747767210006714,0.03848712891340256
5,0.029257267713546753,0.05295416712760925
6,0.030417602509260178,0.04742547497153282
7,0.02968798764050007,0.03275807574391365
8,0.03613228723406792,0.03239917382597923
9,0.03212704509496689,0.04835185781121254
10,0.02402816340327263,0.03450646623969078
11,0.03131524473428726,0.03130888566374779
12,0.03176570311188698,0.03933574631810188
13,0.1453351378440857,0.35618409514427185
14,0.42368054389953613,0.5252205729484558
15,0.4285213351249695,0.5290555953979492
16,0.4875401258468628,0.6752884984016418
